epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,394.31,0.43631,0.51294,0.82848,0.5,0.5,0.4975,0.4975,0.27846,5.25909,0.92647,0.000173917,0.000173917,0.000173917
43,403.16,0.48895,0.77651,0.83441,0.44925,0.5,0.4975,0.4975,0.34253,7.04524,0.9583,0.00017519,0.00017519,0.00017519
44,412.098,0.45737,0.68394,0.86679,0.44925,0.5,0.4975,0.4975,0.34253,7.04524,0.9583,0.000176322,0.000176322,0.000176322
45,421.549,0.42459,0.75159,0.87289,0.16667,0.5,0.24875,0.24875,0.32107,7.73234,0.95371,0.000177312,0.000177312,0.000177312
46,429.428,0.46757,0.69904,0.8693,0.16667,0.5,0.24875,0.24875,0.32107,7.73234,0.95371,0.000178161,0.000178161,0.000178161
47,437.962,0.32412,0.58183,0.83305,0.125,0.5,0.16583,0.16583,0.30742,7.84137,0.95625,0.000178868,0.000178868,0.000178868
48,445.866,0.38444,0.7686,0.81319,0.125,0.5,0.16583,0.16583,0.30742,7.84137,0.95625,0.000179435,0.000179435,0.000179435
49,454.332,0.41034,0.73457,0.83602,0.125,0.5,0.16583,0.16583,0.4194,7.62549,0.97741,0.000179859,0.000179859,0.000179859
50,462.154,0.47113,0.66773,0.81896,0.125,0.5,0.16583,0.16583,0.4194,7.62549,0.97741,0.000180143,0.000180143,0.000180143
51,473.004,0.4256,0.55563,0.82245,0.125,0.5,0.24875,0.24875,0.49337,7.62163,1.01865,0.000180285,0.000180285,0.000180285
52,481.072,0.34637,0.44336,0.81124,0.125,0.5,0.24875,0.24875,0.49337,7.62163,1.01865,0.000180286,0.000180286,0.000180286
53,488.985,0.43983,0.64126,0.82258,0.125,0.5,0.24875,0.24875,0.49337,7.62163,1.01865,0.000180145,0.000180145,0.000180145
54,497.068,0.44009,0.63217,0.79275,0.16667,0.5,0.4975,0.4975,0.4339,6.40903,0.99465,0.000179863,0.000179863,0.000179863
55,505.91,0.35896,0.73593,0.83904,0.16667,0.5,0.4975,0.4975,0.4339,6.40903,0.99465,0.00017944,0.00017944,0.00017944
56,514.422,0.52616,0.57675,0.90301,0.16667,0.5,0.4975,0.4975,0.4339,6.40903,0.99465,0.000178875,0.000178875,0.000178875
57,523.304,0.35868,0.5544,0.84815,0.16667,0.5,0.4975,0.4975,0.34603,6.22026,0.97853,0.000178169,0.000178169,0.000178169
58,531.968,0.34083,0.61635,0.80994,0.16667,0.5,0.4975,0.4975,0.34603,6.22026,0.97853,0.000177321,0.000177321,0.000177321
59,540.675,0.50789,0.82471,0.83078,0.16667,0.5,0.4975,0.4975,0.34603,6.22026,0.97853,0.000176332,0.000176332,0.000176332
60,549.527,0.4451,0.59473,0.84335,0.16667,0.5,0.4975,0.4975,0.29596,5.34717,0.94985,0.000175202,0.000175202,0.000175202
61,558.609,0.45034,0.62561,0.82122,0.16667,0.5,0.4975,0.4975,0.29596,5.34717,0.94985,0.00017393,0.00017393,0.00017393
62,567.427,0.39475,0.50347,0.7897,0.16667,0.5,0.4975,0.4975,0.29596,5.34717,0.94985,0.000172517,0.000172517,0.000172517
63,576.262,0.3575,0.50353,0.83024,0.46665,0.5,0.4975,0.4975,0.3328,4.38661,0.95393,0.000170963,0.000170963,0.000170963
64,584.818,0.4235,0.54791,0.86082,0.46665,0.5,0.4975,0.4975,0.3328,4.38661,0.95393,0.000169267,0.000169267,0.000169267
65,594.009,0.48059,0.66307,0.83515,0.46665,0.5,0.4975,0.4975,0.3328,4.38661,0.95393,0.00016743,0.00016743,0.00016743
66,602.869,0.43438,0.58676,0.82947,0.48074,0.5,0.4975,0.4975,0.35086,3.52512,0.95725,0.000165452,0.000165452,0.000165452
67,611.414,0.31653,0.55829,0.80559,0.48074,0.5,0.4975,0.4975,0.35086,3.52512,0.95725,0.000163332,0.000163332,0.000163332
68,620.013,0.38023,0.51504,0.79853,0.48074,0.5,0.4975,0.4975,0.35086,3.52512,0.95725,0.000161071,0.000161071,0.000161071
69,628.928,0.38525,0.54519,0.81473,0.48644,0.5,0.4975,0.4975,0.30708,2.63143,0.94656,0.000158668,0.000158668,0.000158668
70,637.62,0.45533,0.80616,0.92629,0.48644,0.5,0.4975,0.4975,0.30708,2.63143,0.94656,0.000156124,0.000156124,0.000156124
71,646.164,0.39298,0.53877,0.86053,0.48644,0.5,0.4975,0.4975,0.30708,2.63143,0.94656,0.000153439,0.000153439,0.000153439
72,654.979,0.42836,0.51425,0.73991,0.48505,0.5,0.4975,0.4975,0.27254,2.29261,0.91261,0.000150612,0.000150612,0.000150612
73,663.621,0.39556,0.73423,0.81577,0.48505,0.5,0.4975,0.4975,0.27254,2.29261,0.91261,0.000147644,0.000147644,0.000147644
74,672.113,0.34165,0.54928,0.74737,0.48505,0.5,0.4975,0.4975,0.27254,2.29261,0.91261,0.000144534,0.000144534,0.000144534
75,680.81,0.40223,0.59365,0.85605,0.66667,1,0.995,0.94525,0.24482,2.14051,0.90003,0.000141283,0.000141283,0.000141283
76,689.447,0.4761,0.75408,0.90654,0.66667,1,0.995,0.94525,0.24482,2.14051,0.90003,0.000137891,0.000137891,0.000137891
77,698.018,0.39742,0.5268,0.83454,0.66667,1,0.995,0.94525,0.24482,2.14051,0.90003,0.000134358,0.000134358,0.000134358
78,706.783,0.43014,0.55815,0.86362,0.75,1,0.995,0.995,0.22145,1.8879,0.88835,0.000130683,0.000130683,0.000130683
