epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,95.7628,0.37524,0.78713,0.9256,0.72274,0.5,0.54725,0.5174,0.44087,3.27752,0.95369,0.000162469,0.000162469,0.000162469
43,99.6031,0.41243,0.66635,0.91653,0.73182,0.5,0.52514,0.4975,0.44049,2.4978,0.95417,0.000163658,0.000163658,0.000163658
44,100.855,0.39691,0.58432,0.86167,0.73182,0.5,0.52514,0.4975,0.44049,2.4978,0.95417,0.000164715,0.000164715,0.000164715
45,104.199,0.48124,0.71773,0.8901,0.73531,0.5,0.51213,0.51067,0.42972,2.24162,0.95507,0.00016564,0.00016564,0.00016564
46,105.167,0.53155,0.6687,0.98191,0.73531,0.5,0.51213,0.51067,0.42972,2.24162,0.95507,0.000166433,0.000166433,0.000166433
47,107.261,0.40324,0.60613,0.85526,0.73449,0.5,0.51132,0.50994,0.40331,2.26661,0.94797,0.000167094,0.000167094,0.000167094
48,109.758,0.45952,0.67409,0.9377,0.73449,0.5,0.51132,0.50994,0.40331,2.26661,0.94797,0.000167623,0.000167623,0.000167623
49,110.709,0.36254,0.52976,0.84979,0.98667,0.5,0.50552,0.47985,0.39786,2.44437,0.94567,0.00016802,0.00016802,0.00016802
50,113.157,0.34461,0.45752,0.79732,0.98667,0.5,0.50552,0.47985,0.39786,2.44437,0.94567,0.000168285,0.000168285,0.000168285
51,116.209,0.37611,0.49782,0.86875,0.9859,0.5,0.54607,0.51633,0.40358,2.80363,0.94848,0.000168417,0.000168417,0.000168417
52,117.14,0.44883,0.53465,0.90732,0.9859,0.5,0.54607,0.51633,0.40358,2.80363,0.94848,0.000168418,0.000168418,0.000168418
53,119.184,0.52359,0.79602,0.93926,0.9859,0.5,0.54607,0.51633,0.40358,2.80363,0.94848,0.000168287,0.000168287,0.000168287
54,122.228,0.45192,0.48141,0.90304,0.98652,0.5,0.56827,0.56205,0.37027,2.87498,0.93583,0.000168023,0.000168023,0.000168023
55,123.174,0.37146,0.50327,0.81781,0.98652,0.5,0.56827,0.56205,0.37027,2.87498,0.93583,0.000167628,0.000167628,0.000167628
56,125.107,0.36764,0.50834,0.84985,0.98652,0.5,0.56827,0.56205,0.37027,2.87498,0.93583,0.0001671,0.0001671,0.0001671
57,128.32,0.34221,0.62595,0.84109,0.98683,0.5,0.53896,0.53896,0.35987,2.58496,0.92969,0.000166441,0.000166441,0.000166441
58,131.218,0.41994,0.50046,0.91191,0.98683,0.5,0.53896,0.53896,0.35987,2.58496,0.92969,0.000165649,0.000165649,0.000165649
59,132.25,0.43798,0.43977,0.83379,0.98683,0.5,0.53896,0.53896,0.35987,2.58496,0.92969,0.000164725,0.000164725,0.000164725
60,134.12,0.38838,0.43141,0.86848,0.98677,0.5,0.74625,0.72137,0.34718,2.53878,0.925,0.000163669,0.000163669,0.000163669
61,137.755,0.38442,0.49431,0.8068,0.98677,0.5,0.74625,0.72137,0.34718,2.53878,0.925,0.000162481,0.000162481,0.000162481
62,142.875,0.48068,0.59279,0.95032,0.98677,0.5,0.74625,0.72137,0.34718,2.53878,0.925,0.000161161,0.000161161,0.000161161
63,148.696,0.39559,0.44034,0.79685,0.98655,0.5,0.74625,0.6965,0.31385,2.42009,0.91603,0.000159709,0.000159709,0.000159709
64,149.761,0.41502,0.49731,0.90007,0.98655,0.5,0.74625,0.6965,0.31385,2.42009,0.91603,0.000158125,0.000158125,0.000158125
65,152.174,0.44375,0.42563,0.81072,0.98655,0.5,0.74625,0.6965,0.31385,2.42009,0.91603,0.000156409,0.000156409,0.000156409
66,153.372,0.37863,0.53969,0.88548,0.98657,0.5,0.74625,0.72137,0.30259,2.58242,0.91483,0.000154561,0.000154561,0.000154561
67,159.27,0.3609,0.39785,0.8439,0.98657,0.5,0.74625,0.72137,0.30259,2.58242,0.91483,0.00015258,0.00015258,0.00015258
68,162.86,0.38658,0.39394,0.82764,0.98657,0.5,0.74625,0.72137,0.30259,2.58242,0.91483,0.000150468,0.000150468,0.000150468
69,164.41,0.46383,0.57305,0.89746,0.98673,0.5,0.74625,0.72137,0.31991,2.85461,0.92163,0.000148223,0.000148223,0.000148223
70,169.223,0.38322,0.48837,0.8705,0.98673,0.5,0.74625,0.72137,0.31991,2.85461,0.92163,0.000145847,0.000145847,0.000145847
71,176.877,0.46025,0.51859,0.88839,0.98673,0.5,0.74625,0.72137,0.31991,2.85461,0.92163,0.000143338,0.000143338,0.000143338
