epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
19,557.889,0.62509,0.42763,0.91141,0.96837,0.82603,0.85577,0.72268,0.7206,0.82053,0.95873,0.000304066,0.000304066,0.000304066
20,584.165,0.62884,0.4472,0.95886,0.94489,0.8078,0.90409,0.75428,0.73331,0.77265,0.97053,0.000316641,0.000316641,0.000316641
21,613.06,0.65855,0.43348,0.93295,0.94319,0.80303,0.97613,0.83925,0.67196,0.77347,0.94079,0.00032882,0.00032882,0.00032882
22,649.641,0.58659,0.40184,0.91414,0.74847,1,0.98899,0.86637,0.58883,0.77584,0.91073,0.000340603,0.000340603,0.000340603
23,677.962,0.5664,0.38141,0.91537,0.88354,1,0.99495,0.88532,0.5423,0.70347,0.89617,0.00035199,0.00035199,0.00035199
24,706.984,0.57645,0.38042,0.91148,0.98439,1,0.995,0.88243,0.53587,0.6362,0.89601,0.000362981,0.000362981,0.000362981
25,734.206,0.6251,0.37639,0.9225,0.99331,1,0.995,0.88412,0.53134,0.57066,0.89718,0.000373576,0.000373576,0.000373576
26,760.633,0.62605,0.42278,0.95495,0.99197,0.99784,0.995,0.88541,0.50967,0.50482,0.89413,0.000383775,0.000383775,0.000383775
27,787.854,0.57235,0.40652,0.91504,0.99362,1,0.995,0.88299,0.53953,0.54298,0.90291,0.000393578,0.000393578,0.000393578
28,814.005,0.52059,0.36554,0.91694,0.99362,1,0.995,0.88299,0.53953,0.54298,0.90291,0.000402985,0.000402985,0.000402985
29,840.264,0.57835,0.41759,0.96171,0.98573,0.99413,0.995,0.8935,0.50189,0.51642,0.87565,0.000411996,0.000411996,0.000411996
30,867.333,0.49245,0.367,0.92268,0.98115,0.98697,0.995,0.89254,0.4939,0.51523,0.87251,0.000420611,0.000420611,0.000420611
31,893.796,0.54313,0.38411,0.89667,0.98115,0.98697,0.995,0.89254,0.4939,0.51523,0.87251,0.00042883,0.00042883,0.00042883
32,920.658,0.61185,0.38441,0.96676,0.99142,0.99825,0.995,0.89018,0.50803,0.54304,0.89025,0.000436653,0.000436653,0.000436653
33,947.43,0.58633,0.38498,0.94145,0.99246,1,0.995,0.87069,0.60497,0.65417,0.95779,0.00044408,0.00044408,0.00044408
34,974.02,0.56988,0.37121,0.95941,0.99246,1,0.995,0.87069,0.60497,0.65417,0.95779,0.000451111,0.000451111,0.000451111
35,1000.59,0.59951,0.36853,0.93086,0.98865,0.99857,0.995,0.87263,0.63331,0.56988,0.97321,0.000457746,0.000457746,0.000457746
36,1031.86,0.54053,0.35288,0.94336,0.97976,0.98677,0.99203,0.86268,0.6585,0.46984,0.97047,0.000463985,0.000463985,0.000463985
37,1058.29,0.57405,0.35455,0.88811,0.97976,0.98677,0.99203,0.86268,0.6585,0.46984,0.97047,0.000469828,0.000469828,0.000469828
38,1084.72,0.51514,0.33712,0.90896,0.97513,0.97887,0.98736,0.82259,0.80159,0.50004,1.03158,0.000475275,0.000475275,0.000475275
39,1111.61,0.53215,0.3474,0.89627,0.98767,0.99422,0.99439,0.83782,0.74131,0.46795,0.99784,0.000480326,0.000480326,0.000480326
40,1137.51,0.58949,0.3483,0.91604,0.98767,0.99422,0.99439,0.83782,0.74131,0.46795,0.99784,0.000484981,0.000484981,0.000484981
41,1163.41,0.48617,0.31352,0.89051,0.98969,0.99677,0.995,0.85092,0.67791,0.43664,0.97263,0.00048924,0.00048924,0.00048924
42,1189.72,0.56453,0.35494,0.95241,0.99375,0.99618,0.995,0.84324,0.6853,0.4339,0.99042,0.000493103,0.000493103,0.000493103
43,1215.74,0.52695,0.31756,0.90935,0.99375,0.99618,0.995,0.84324,0.6853,0.4339,0.99042,0.00049657,0.00049657,0.00049657
44,1242.08,0.50795,0.32853,0.91185,0.9959,1,0.995,0.88584,0.51219,0.41587,0.8744,0.000499641,0.000499641,0.000499641
45,1267.98,0.54037,0.32864,0.92645,0.9959,1,0.995,0.88584,0.51219,0.41587,0.8744,0.000502316,0.000502316,0.000502316
46,1294.16,0.52317,0.33748,0.87622,0.99326,1,0.995,0.88723,0.50756,0.38426,0.86641,0.000504595,0.000504595,0.000504595
47,1319.96,0.57791,0.37414,0.91985,0.99326,1,0.995,0.88723,0.50756,0.38426,0.86641,0.000506478,0.000506478,0.000506478
48,1346.49,0.50634,0.31738,0.89827,0.98806,0.99161,0.995,0.87943,0.56979,0.37448,0.89973,0.000507965,0.000507965,0.000507965
49,1382.03,0.57495,0.31936,0.90701,0.98806,0.99161,0.995,0.87943,0.56979,0.37448,0.89973,0.000509056,0.000509056,0.000509056
50,1409.45,0.55696,0.32416,0.89905,0.98746,0.99043,0.995,0.86679,0.66298,0.41687,0.95979,0.000509751,0.000509751,0.000509751
51,1435.98,0.4749,0.30972,0.8894,0.98746,0.99043,0.995,0.86679,0.66298,0.41687,0.95979,0.000505,0.000505,0.000505
52,1462.19,0.4961,0.31307,0.88806,0.9915,0.99886,0.995,0.86224,0.6691,0.40264,0.95693,0.0004951,0.0004951,0.0004951
53,1488.26,0.48609,0.28805,0.87913,0.9915,0.99886,0.995,0.86224,0.6691,0.40264,0.95693,0.0004852,0.0004852,0.0004852
54,1514.17,0.56912,0.30637,0.92173,0.99401,1,0.995,0.83665,0.73489,0.36458,0.98181,0.0004753,0.0004753,0.0004753
55,1539.68,0.49547,0.30109,0.91532,0.99401,1,0.995,0.83665,0.73489,0.36458,0.98181,0.0004654,0.0004654,0.0004654
56,1566.37,0.51356,0.29482,0.88148,0.99214,1,0.995,0.8189,0.78484,0.37028,1.00831,0.0004555,0.0004555,0.0004555
57,1592.49,0.48626,0.2952,0.8775,0.99214,1,0.995,0.8189,0.78484,0.37028,1.00831,0.0004456,0.0004456,0.0004456
58,1618.62,0.52884,0.32037,0.9073,0.99448,1,0.995,0.86355,0.62132,0.4007,0.92199,0.0004357,0.0004357,0.0004357
59,1644.86,0.55098,0.30292,0.91324,0.99448,1,0.995,0.86355,0.62132,0.4007,0.92199,0.0004258,0.0004258,0.0004258
60,1671.04,0.46169,0.28356,0.8732,0.99413,1,0.995,0.88086,0.56058,0.41556,0.88114,0.0004159,0.0004159,0.0004159
61,1698.13,0.51829,0.32587,0.89789,0.99413,1,0.995,0.88086,0.56058,0.41556,0.88114,0.000406,0.000406,0.000406
62,1724.36,0.47305,0.3113,0.89773,0.99166,1,0.995,0.88486,0.53797,0.34468,0.87365,0.0003961,0.0003961,0.0003961
63,1750.23,0.49764,0.30625,0.92664,0.99166,1,0.995,0.88486,0.53797,0.34468,0.87365,0.0003862,0.0003862,0.0003862
64,1777.3,0.49676,0.28179,0.89286,0.99168,1,0.995,0.89667,0.5389,0.31483,0.87872,0.0003763,0.0003763,0.0003763
65,1804.28,0.47256,0.28118,0.8762,0.99168,1,0.995,0.89667,0.5389,0.31483,0.87872,0.0003664,0.0003664,0.0003664
66,1831.05,0.46554,0.27565,0.8923,0.99574,1,0.995,0.90186,0.51163,0.30663,0.87372,0.0003565,0.0003565,0.0003565
67,1858.08,0.48613,0.28009,0.88346,0.99574,1,0.995,0.90186,0.51163,0.30663,0.87372,0.0003466,0.0003466,0.0003466
68,1884.76,0.46453,0.27298,0.88646,0.99472,1,0.995,0.8802,0.56566,0.32737,0.90111,0.0003367,0.0003367,0.0003367
69,1910.78,0.47113,0.27736,0.86646,0.99472,1,0.995,0.8802,0.56566,0.32737,0.90111,0.0003268,0.0003268,0.0003268
70,1936.84,0.4633,0.26211,0.87945,0.99411,1,0.995,0.87815,0.5704,0.31224,0.90922,0.0003169,0.0003169,0.0003169
71,1962.6,0.44587,0.26993,0.88994,0.99411,1,0.995,0.87815,0.5704,0.31224,0.90922,0.000307,0.000307,0.000307
72,1988.91,0.43345,0.26572,0.86381,0.99446,1,0.995,0.88795,0.55584,0.29731,0.89995,0.0002971,0.0002971,0.0002971
73,2014.79,0.5175,0.27615,0.89375,0.99446,1,0.995,0.88795,0.55584,0.29731,0.89995,0.0002872,0.0002872,0.0002872
74,2040.56,0.47605,0.27734,0.89878,0.99465,1,0.995,0.87632,0.6218,0.31413,0.93452,0.0002773,0.0002773,0.0002773
75,2068.28,0.4543,0.28001,0.8836,0.99465,1,0.995,0.87632,0.6218,0.31413,0.93452,0.0002674,0.0002674,0.0002674
76,2095.46,0.44802,0.27408,0.87798,0.99389,1,0.995,0.84982,0.73523,0.34241,0.99996,0.0002575,0.0002575,0.0002575
77,2121.26,0.45022,0.26631,0.87442,0.99389,1,0.995,0.84982,0.73523,0.34241,0.99996,0.0002476,0.0002476,0.0002476
78,2147.29,0.47958,0.27177,0.91233,0.99451,1,0.995,0.82906,0.80417,0.36124,1.04607,0.0002377,0.0002377,0.0002377
79,2173.72,0.47378,0.25212,0.88312,0.99451,1,0.995,0.82906,0.80417,0.36124,1.04607,0.0002278,0.0002278,0.0002278
80,2200.44,0.47441,0.25624,0.8771,0.99424,1,0.995,0.83502,0.80894,0.36451,1.04704,0.0002179,0.0002179,0.0002179
81,2226.74,0.44029,0.25846,0.85753,0.99424,1,0.995,0.83502,0.80894,0.36451,1.04704,0.000208,0.000208,0.000208
82,2253.22,0.4531,0.26293,0.86517,0.99392,1,0.995,0.86719,0.66015,0.32027,0.95951,0.0001981,0.0001981,0.0001981
83,2278.97,0.44759,0.27951,0.89452,0.99392,1,0.995,0.86719,0.66015,0.32027,0.95951,0.0001882,0.0001882,0.0001882
84,2305.36,0.4437,0.25521,0.86941,0.99401,1,0.995,0.89817,0.54454,0.27589,0.89699,0.0001783,0.0001783,0.0001783
85,2331.07,0.47071,0.26241,0.92277,0.99401,1,0.995,0.89817,0.54454,0.27589,0.89699,0.0001684,0.0001684,0.0001684
86,2357.18,0.39864,0.25811,0.86951,0.99372,1,0.995,0.91235,0.48003,0.25528,0.86236,0.0001585,0.0001585,0.0001585
87,2383.67,0.43271,0.24228,0.86574,0.99372,1,0.995,0.91235,0.48003,0.25528,0.86236,0.0001486,0.0001486,0.0001486
88,2410.55,0.44093,0.23929,0.87507,0.99263,1,0.995,0.91312,0.47512,0.25497,0.85802,0.0001387,0.0001387,0.0001387
89,2438.95,0.43302,0.23841,0.86059,0.99263,1,0.995,0.91312,0.47512,0.25497,0.85802,0.0001288,0.0001288,0.0001288
90,2466.34,0.4348,0.22553,0.85996,0.99184,1,0.995,0.90564,0.47816,0.25802,0.85845,0.0001189,0.0001189,0.0001189
91,2491.58,0.49071,0.24609,0.90777,0.99184,1,0.995,0.90564,0.47816,0.25802,0.85845,0.000109,0.000109,0.000109
92,2516.86,0.43386,0.25122,0.87873,0.99243,1,0.995,0.90615,0.47262,0.25346,0.85979,9.91e-05,9.91e-05,9.91e-05
93,2541.94,0.45068,0.24086,0.88288,0.99243,1,0.995,0.90615,0.47262,0.25346,0.85979,8.92e-05,8.92e-05,8.92e-05
94,2567.19,0.42855,0.22709,0.85088,0.99305,1,0.995,0.90848,0.46734,0.24671,0.85983,7.93e-05,7.93e-05,7.93e-05
95,2592.38,0.44394,0.22313,0.86268,0.99305,1,0.995,0.90848,0.46734,0.24671,0.85983,6.94e-05,6.94e-05,6.94e-05
96,2618,0.45209,0.24831,0.86319,0.99352,1,0.995,0.91158,0.46338,0.24472,0.85933,5.95e-05,5.95e-05,5.95e-05
97,2643.16,0.41679,0.22101,0.82676,0.99352,1,0.995,0.91158,0.46338,0.24472,0.85933,4.96e-05,4.96e-05,4.96e-05
98,2668.58,0.48087,0.24059,0.86989,0.99399,1,0.995,0.91137,0.45802,0.2431,0.85721,3.97e-05,3.97e-05,3.97e-05
99,2694.73,0.38919,0.2206,0.8702,0.99399,1,0.995,0.91137,0.45802,0.2431,0.85721,2.98e-05,2.98e-05,2.98e-05
100,2720.36,0.42355,0.21921,0.87343,0.99421,1,0.995,0.91215,0.45553,0.24091,0.85568,1.99e-05,1.99e-05,1.99e-05
