epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.5552,2.34488,3.96347,2.0053,0.59441,0.11973,0.11796,0.03776,1.80988,3.30858,1.84197,1e-05,1e-05,1e-05
2,93.9689,2.15388,3.72466,1.86377,0.07555,0.3034,0.10852,0.05653,1.02386,2.90158,1.2261,2.9703e-05,2.9703e-05,2.9703e-05
3,121.692,1.57778,3.00699,1.48354,0.11657,0.70319,0.18897,0.14704,0.57838,2.57397,0.90975,4.901e-05,4.901e-05,4.901e-05
4,149.441,1.19522,2.29016,1.23754,0.47235,0.66714,0.44705,0.37102,0.59126,2.38673,0.97873,6.7921e-05,6.7921e-05,6.7921e-05
5,176.681,1.12611,1.6364,1.2426,0.80162,0.73797,0.77384,0.61274,0.74856,2.23995,1.03293,8.6436e-05,8.6436e-05,8.6436e-05
6,204.865,0.84043,1.04208,1.14755,0.74942,0.78663,0.82647,0.5646,1.19398,4.12,1.23851,0.000104555,0.000104555,0.000104555
7,231.638,0.81088,0.87597,1.08101,0.88729,0.79741,0.82602,0.5348,1.33545,2.66994,1.27377,0.000122278,0.000122278,0.000122278
8,257.943,0.66682,0.67564,1.04518,0.97113,0.68046,0.80297,0.61649,0.88424,1.63772,1.01349,0.000139605,0.000139605,0.000139605
9,285.553,0.84726,0.69447,1.02026,0.78782,0.66713,0.80933,0.67518,0.65823,1.53782,0.92111,0.000156536,0.000156536,0.000156536
10,313.828,0.63997,0.57493,0.99184,0.75856,0.75912,0.82569,0.70934,0.58032,1.36425,0.89117,0.000173071,0.000173071,0.000173071
11,341.422,0.66936,0.57011,0.97122,0.81974,0.82879,0.83032,0.71766,0.56157,1.25802,0.88324,0.00018921,0.00018921,0.00018921
12,368.901,0.69965,0.54174,0.98654,0.9966,0.83333,0.83063,0.68129,0.67972,1.17428,0.92112,0.000204953,0.000204953,0.000204953
13,395.205,0.64538,0.54241,0.98358,0.99558,0.82682,0.831,0.65578,0.79352,1.0913,0.95947,0.0002203,0.0002203,0.0002203
14,421.749,0.62755,0.45647,0.91635,0.99485,0.82576,0.83065,0.67529,0.74172,0.95119,0.94027,0.000235251,0.000235251,0.000235251
15,448.272,0.64306,0.50531,0.98593,0.99114,0.82576,0.83265,0.72147,0.57972,0.70447,0.88056,0.000249806,0.000249806,0.000249806
16,476.444,0.74616,0.51599,0.98615,0.99159,0.82576,0.84021,0.73796,0.54566,0.64173,0.8698,0.000263965,0.000263965,0.000263965
17,503.727,0.65369,0.45246,0.95352,0.98714,0.82569,0.86459,0.75715,0.5775,0.58795,0.88299,0.000277728,0.000277728,0.000277728
18,530.901,0.59728,0.44985,0.93478,0.98858,0.82519,0.85775,0.73927,0.63876,0.66394,0.9145,0.000291095,0.000291095,0.000291095
