epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.85357,2.34955,4.20814,2.08624,0.03522,0.27996,0.04928,0.0101,2.00829,3.71815,2.00998,9.09e-06,9.09e-06,9.09e-06
2,3.69217,2.23585,4.1645,1.96149,0.06924,0.35877,0.0715,0.0257,1.35566,3.50618,1.45972,2.7e-05,2.7e-05,2.7e-05
3,6.15384,1.93489,3.93535,1.75346,0.07968,0.37546,0.11025,0.08495,0.72675,3.05474,1.02763,4.45501e-05,4.45501e-05,4.45501e-05
4,11.8274,1.41123,3.36667,1.40009,0.14513,0.55969,0.25149,0.22095,0.55081,2.59922,0.88912,6.17402e-05,6.17402e-05,6.17402e-05
5,14.4063,1.04274,2.22804,1.22407,0.62194,0.54635,0.61356,0.47902,0.71826,3.20457,1.00995,7.85703e-05,7.85703e-05,7.85703e-05
6,19.207,0.92496,1.41409,1.15231,0.72239,0.77751,0.82331,0.50542,1.36781,4.62783,1.40154,9.50405e-05,9.50405e-05,9.50405e-05
7,21.8975,0.78814,1.08388,1.08653,0.62393,0.81893,0.69463,0.49376,1.19766,4.38365,1.24101,0.000111151,0.000111151,0.000111151
8,23.7758,0.70564,0.90681,1.05539,0.5731,0.73292,0.43304,0.35549,0.79256,11.463,0.98474,0.000126901,0.000126901,0.000126901
9,26.4151,0.69438,0.8248,1.00896,0.50171,0.7142,0.36956,0.31301,0.72306,9.58935,0.9571,0.000142291,0.000142291,0.000142291
10,28.5789,0.67154,0.72784,0.97517,0.43496,0.78762,0.52497,0.43998,0.74373,8.20646,0.97976,0.000157322,0.000157322,0.000157322
11,31.2615,0.67873,0.75311,1.03036,0.51713,0.77146,0.57772,0.46987,0.8192,8.93196,1.02943,0.000171992,0.000171992,0.000171992
12,32.9756,0.63753,0.66301,0.97302,0.50403,0.73588,0.57458,0.47164,0.79999,10.4091,1.0209,0.000186302,0.000186302,0.000186302
13,37.53,0.62633,0.66747,0.97678,0.55534,0.75479,0.61111,0.51539,0.70769,11.3052,0.98726,0.000200253,0.000200253,0.000200253
14,39.5295,0.67813,0.66818,0.93943,0.77218,0.80103,0.78992,0.70043,0.57832,5.24031,0.93706,0.000213843,0.000213843,0.000213843
15,44.3593,0.56997,0.53807,0.92501,0.98577,0.80879,0.8255,0.71857,0.59614,1.39186,0.9375,0.000227074,0.000227074,0.000227074
16,48.8572,0.58138,0.53571,0.92083,0.98941,0.81037,0.84339,0.71346,0.67724,1.22937,0.96505,0.000239944,0.000239944,0.000239944
17,51.1879,0.64249,0.59273,0.96674,0.82755,0.81613,0.83244,0.67661,0.81076,3.35975,1.03172,0.000252455,0.000252455,0.000252455
18,53.1757,0.61305,0.52656,0.95158,0.82657,0.82045,0.8334,0.69237,0.71938,4.15668,0.98898,0.000264605,0.000264605,0.000264605
19,56.8652,0.58324,0.492,0.90655,0.82878,0.8255,0.83325,0.71437,0.62362,3.63187,0.94511,0.000276396,0.000276396,0.000276396
20,58.6654,0.55918,0.47498,0.92664,0.82955,0.82688,0.83801,0.71641,0.62268,0.97582,0.94199,0.000287827,0.000287827,0.000287827
21,60.7093,0.53729,0.45403,0.92266,0.80315,0.87498,0.83416,0.70374,0.65649,0.95839,0.95219,0.000298897,0.000298897,0.000298897
22,62.7522,0.61672,0.47184,0.94893,0.77345,0.92031,0.83248,0.64376,0.91817,2.03159,1.08933,0.000309608,0.000309608,0.000309608
23,68.4001,0.60887,0.47098,0.9296,0.87945,0.93913,0.88896,0.64817,1.00624,0.81258,1.14963,0.000319959,0.000319959,0.000319959
24,70.4323,0.55728,0.47171,0.92118,0.96121,0.99469,0.99192,0.89508,0.49817,0.56609,0.87077,0.00032995,0.00032995,0.00032995
25,74.848,0.44954,0.42192,0.90438,0.97307,0.97216,0.99191,0.89177,0.50827,0.64119,0.87016,0.000339581,0.000339581,0.000339581
26,78.6212,0.58501,0.43468,0.91057,0.97097,0.99283,0.99194,0.8756,0.51979,0.65265,0.87481,0.000348851,0.000348851,0.000348851
27,80.3699,0.62292,0.44331,0.96121,0.94993,0.99469,0.99212,0.90096,0.48061,0.59671,0.86278,0.000357762,0.000357762,0.000357762
28,84.0434,0.57026,0.39893,0.93088,0.94993,0.99469,0.99212,0.90096,0.48061,0.59671,0.86278,0.000366313,0.000366313,0.000366313
29,87.0202,0.60736,0.43616,0.94218,0.95291,0.99469,0.9919,0.89074,0.53356,0.64647,0.88848,0.000374504,0.000374504,0.000374504
30,88.8593,0.56011,0.39857,0.92024,0.96333,0.99469,0.99134,0.88562,0.55844,0.70347,0.90375,0.000382335,0.000382335,0.000382335
31,95.0483,0.6078,0.42707,0.91969,0.96333,0.99469,0.99134,0.88562,0.55844,0.70347,0.90375,0.000389806,0.000389806,0.000389806
32,97.8421,0.55769,0.40653,0.90751,0.98368,0.99469,0.9928,0.87985,0.53029,0.5887,0.89254,0.000396918,0.000396918,0.000396918
33,99.5525,0.5808,0.42561,0.92661,0.99228,0.99505,0.99375,0.89285,0.49993,0.52822,0.87725,0.000403669,0.000403669,0.000403669
